"Prefix","Country"
"53","Cuba"
"94","Sri Lanka"
"211","South Sudan"
"212","Morocco"
"213","Algeria"
"216","Tunisia"
"220","Gambia"
"221","Senegal"
"222","Mauritania"
"223","Mali"
"224","Guinea"
"226","Burkina Faso"
"228","Togo"
"229","Benin"
"231","Liberia"
"232","Sierra Leone"
"233","Ghana"
"235","Chad"
"236","Central African Republic"
"237","Cameroon"
"238","Cape Verde"
"239","Sao Tom_ and Principe"
"240","Equatorial Guinea"
"241","Gabon"
"242","Republic Of Congo"
"243","Congo, DR"
"244","Angola"
"245","Guinea-Bissau"
"246","British Indian Ocean Territory"
"247","Saint Helena, Ascension and Tristan da Cunha"
"248","Seychelles"
"249","Sudan"
"250","Rwanda"
"251","Ethiopia"
"252","Somalia"
"255","Tanzania"
"256","Uganda"
"257","Burundi"
"258","Mozambique"
"260","Zambia"
"261","Madagascar"
"262","R_union"
"263","Zimbabwe"
"265","Malawi"
"266","Lesotho"
"269","Comoros"
"290","Saint Helena, Ascension and Tristan da Cunha"
"291","Eritrea"
"299","Greenland"
"338","France"
"355","Albania"
"371","Latvia"
"373","Moldova"
"375","Belarus"
"377","Monaco"
"379","Vatican City"
"381","Kosovo"
"382","Montenegro"
"383","Kosovo"
"387","Bosnia and Herzegovina"
"389","Macedonia"
"446","United Kingdom"
"449","United Kingdom"
"470","Norway"
"478","Norway"
"500","Falkland Islands"
"509","Haiti"
"592","Guyana"
"594","French Guiana"
"596","Martinique"
"670","Timor-Leste"
"672","Antarctica"
"674","Nauru"
"675","Papua New Guinea"
"676","Tonga"
"677","Solomon Islands"
"678","Vanuatu"
"679","Fiji"
"680","Palau"
"681","Wallis and Futuna Islands"
"682","Cook Islands"
"683","Niue"
"685","Samoa"
"686","Kiribati"
"687","New Caledonia"
"688","Tuvalu"
"689","French Polynesia"
"690","Tokelau"
"850","Korea, North"
"856","Laos"
"870","International Satellite Service"
"881","Global Mobile Satellite System"
"882","International Networks"
"883","International National Rate Service"
"888","United Nations"
"937","Afghanistan"
"960","Maldives"
"961","Lebanon"
"967","Yemen"
"970","Palestine"
"992","Tajikistan"
"994","Azerbaijan"
"995","Georgia"
"996","Kyrgyzstan"
"1242","Bahamas"
"1264","Anguilla"
"1268","Antigua and Barbuda"
"1473","Grenada"
"1664","Montserrat"
"1684","American Samoa"
"1767","Dominica"
"2168","Tunisia"
"2271","Niger"
"2563","Uganda"
"3247","Belgium"
"3248","Belgium"
"3277","Belgium"
"3577","Cyprus"
"4174","Switzerland"
"4470","United Kingdom"
"4476","United Kingdom"
"4484","United Kingdom"
