Country,Prefix
Albania (Mobile A) Eagle,35567
Albania (Mobile A) Eagle,35567890
Albania (Mobile B) AMC,35568
Albania (Mobile C) Vodafone,35569
Algeria (Mobile B),21366
Algeria (Mobile C) Orascom,21377
Algeria (Mobile C) Orascom,21379
Andorra (Mobile A),3763
Andorra (Mobile A),3766
Anguilla (Mobile A) Digicel,1264581
Anguilla (Mobile A) Digicel,1264582
Anguilla (Mobile A) Digicel,1264583
Anguilla (Mobile A) Digicel,1264584
Anguilla (Mobile B),1264235
Anguilla (Mobile B),1264469
Anguilla (Mobile B),1264476
Anguilla (Mobile B),1264543
Anguilla (Mobile B),1264729
Anguilla (Mobile B),1264772
Antarctica,88234
Antarctica,882340
Antarctica,882341
Antarctica,882342
Antarctica,882343
Antarctica,882344
Antarctica,882345
Antarctica,882346
Antarctica,882347
Antarctica,882348
Antarctica,882349
Antarctica (Casey),67212
Antarctica (Scott),67224
Antigua & Barbuda,126872
Antigua & Barbuda,126877
Antigua & Barbuda,126878
Antigua & Barbuda,1268713
Antigua & Barbuda,1268714
Antigua & Barbuda,1268715
Antigua & Barbuda (Mobile A) Digicel,1268720
Antigua & Barbuda (Mobile A) Digicel,1268721
Antigua & Barbuda (Mobile A) Digicel,1268722
Antigua & Barbuda (Mobile A) Digicel,1268724
Antigua & Barbuda (Mobile A) Digicel,1268725
Antigua & Barbuda (Mobile A) Digicel,1268726
Antigua & Barbuda (Mobile A) Digicel,1268732
Antigua & Barbuda (Mobile A) Digicel,1268734
Antigua & Barbuda (Mobile A) Digicel,1268736
Antigua & Barbuda (Mobile A) Digicel,1268783
Antigua & Barbuda (Mobile A) Digicel,1268785
Antigua & Barbuda (Mobile A) Digicel,1268788
Antigua & Barbuda (Mobile B),1268464
Antigua & Barbuda (Mobile B),1268716
Antigua & Barbuda (Mobile B),1268717
Antigua & Barbuda (Mobile B),1268718
Antigua & Barbuda (Mobile B),1268719
Antigua & Barbuda (Mobile B),1268723
Antigua & Barbuda (Mobile B),1268727
Antigua & Barbuda (Mobile B),1268728
Antigua & Barbuda (Mobile B),1268729
Antigua & Barbuda (Mobile B),1268762
Antigua & Barbuda (Mobile B),1268764
Antigua & Barbuda (Mobile B),1268770
Antigua & Barbuda (Mobile B),1268771
Antigua & Barbuda (Mobile B),1268772
Antigua & Barbuda (Mobile B),1268773
Antigua & Barbuda (Mobile B),1268774
Antigua & Barbuda (Mobile B),1268775
Antigua & Barbuda (Mobile B),1268776
Antigua & Barbuda (Mobile B),1268778
Antigua & Barbuda (Mobile B),1268779
Antigua & Barbuda (Mobile B),1268780
Antigua & Barbuda (Mobile B),1268781
Antigua & Barbuda (Mobile B),1268782
Antigua & Barbuda (Mobile B),1268784
Antigua & Barbuda (Mobile B),1268786
Antigua & Barbuda (Mobile B),1268787
Antigua & Barbuda (Mobile B),1268789
Antigua & Barbuda (Mobile B),12687621
Antigua & Barbuda (Mobile B),12687622
Antigua & Barbuda (Mobile B),12687623
Antigua & Barbuda (Mobile B),12687624
Antigua & Barbuda (Mobile B),12687625
Antigua & Barbuda (Mobile B),12687626
Antigua & Barbuda (Mobile B),12687627
Antigua & Barbuda (Mobile B),12687628
Antigua & Barbuda (Mobile B),12687629
Armenia (Mobile A),37491
Armenia (Mobile A),37496
Armenia (Mobile A),37499
Ascension Island,247
Ascension Island,2470
Ascension Island,2471
Ascension Island,2472
Ascension Island,2473
Ascension Island,2475
Ascension Island,2477
Ascension Island,2478
Ascension Island,2479
Ascension Island,2474019
Ascension Island,2476048
Ascension Island,2476099
Ascension Island,2476212
Ascension Island,2476599
Ascension Island,2476619
Ascension Island,24778503
Ascension Island,247230024
Azerbaijan,99444
Azerbaijan (Mobile A),99450
Azerbaijan (Mobile A),99451
Azerbaijan (Mobile A),99455
Azerbaijan (Mobile A),99460
Azerbaijan (Mobile A),99470
Azerbaijan (Mobile A),99477
Azerbaijan (Mobile B) Catel,99440
Azerbaijan (Mobile B) Catel,994400
Azerbaijan (Mobile B) Catel,994404
Barbados (Mobile A) Digicel,124626
Barbados (Mobile A) Digicel,124682
Barbados (Mobile A) Digicel,124683
Barbados (Mobile A) Digicel,124684
Barbados (Mobile A) Digicel,124685
Barbados (Mobile A) Digicel,1246256
Barbados (Mobile A) Digicel,1246257
Barbados (Mobile A) Digicel,1246258
Barbados (Mobile A) Digicel,1246259
Belarus,375
Belarus,3750
Belarus,37517
Belarus,37526
Belarus,375172
Belarus,375173
Belarus,375175
Belarus,375777
Belarus,375860
Belarus,37526250
Belarus,37526251
Belarus,37526720
Belarus,37526721
Belarus,37574074
Belarus,375106966
Belarus,375151195
Belarus,375176380
Belarus,375176763
Belarus,375229156
Belarus,375236559
Belarus,375740740
Belarus,375860000
Belarus,3751511952
Belarus,3752122480
